id,type,value,parent_id,indelible
'e5bbe512-b163-40b5-8224-2157d56f3c02','COORDINATE_SYSTEM','МСК-03 Республика Бурятия',null,null
'6456712f-19aa-423a-b912-8338d4cadfbd','COORDINATE_SYSTEM','МСК-04 Республика Алтай',null,null
'5d2ad16a-6046-4116-80df-05ec4eb25bb6','COORDINATE_SYSTEM','МСК-05 Республика Дагестан',null,null
'2f9b10fe-eab6-4b95-89bc-1ce618229b02','COORDINATE_SYSTEM','МСК-06 Республика Ингушетия',null,null
'dab7cd42-776b-4d91-b61a-06516c7db50b','COORDINATE_SYSTEM','МСК-07 Кабардино-Балкарская Республика',null,null
'48154e06-4a00-40d7-8517-2561c4a978aa','COORDINATE_SYSTEM','МСК-08 Республика Калмыкия',null,null
'91fc0750-41bd-4569-95be-9dd60a7bcb8d','COORDINATE_SYSTEM','МСК-09 Республика Карачаево-Черкесия',null,null
'0941c88d-a2ee-4da6-9959-0774c8246ed5','COORDINATE_SYSTEM','МСК-10 Республика Карелия',null,null
'835a27f5-cccf-4753-b281-5c92b06bdde4','COORDINATE_SYSTEM','МСК-11 Республика Коми',null,null
'329a4f2c-4980-4fcd-a0e4-4a660324df24','COORDINATE_SYSTEM','МСК-12 Республика Марий Эл',null,null
'2ceee238-d422-4798-afb2-e2b9f77cf968','COORDINATE_SYSTEM','МСК-13 Республика Мордовия',null,null
'70c2d4ef-e0d1-469d-9836-f6a83e3baabd','COORDINATE_SYSTEM','МСК-14 Республика Саха (Якутия)',null,null
'23291d3b-d3ad-44d0-8c21-3102bb3f14bc','COORDINATE_SYSTEM','МСК-15 Северная Осетия - Алания',null,null
'8973c165-7377-4ec8-9cbd-a975dc369e19','COORDINATE_SYSTEM','МСК-16 Республика Татарстан',null,null
'c240c9bc-c580-4009-9932-c7811a6e62fa','COORDINATE_SYSTEM','МСК-18 Удмуртская Республика',null,null
'dc4cc2a8-aa36-418b-86d2-59b34234b942','COORDINATE_SYSTEM','МСК-20 Чеченская Республика',null,null
'31fcd8c8-6374-4641-be70-de5833f8726d','COORDINATE_SYSTEM','МСК-21 Чувашская Республика',null,null
'4f7c8fd4-b326-4105-9312-769d73014088','COORDINATE_SYSTEM','МСК-22 Алтайский край',null,null
