id,type,value,parent_id
'8ab619d0-cf41-4ba6-9beb-d7f220d54a0d','SUBJECT_AREA','Суражский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'2608eb8d-b555-4028-b881-604331ae3303','SUBJECT_AREA','Трубчевский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'734c2563-52ec-4d2a-a80a-b617f7d916ed','SUBJECT_AREA','Унечский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'68470560-bf5f-498f-a242-17d8e9614b6d','SUBJECT_AREA','Александровский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'42a16004-78ef-469f-af4e-a2852543411d','SUBJECT_AREA','Владимир г','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'88ab5eb7-83ab-4372-b224-364bdb46f0b4','SUBJECT_AREA','Вязниковский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'608f1c39-8ae6-4dc8-bc2d-95209a7d8cac','SUBJECT_AREA','Гороховецкий р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'8e72bfb1-7720-434e-9eb7-eb87bb388db1','SUBJECT_AREA','Гусь-Хрустальный р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'0f6cc087-0b4c-48d8-a4d7-bf2028782f1b','SUBJECT_AREA','Гусь-Хрустальный г','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'23b65422-f05e-46c5-84da-b6fad09b5d5b','SUBJECT_AREA','Камешковский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'fa15a905-1168-42f4-9cc0-6567ae453ead','SUBJECT_AREA','Киржачский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'eb88c3ed-f4bf-4a5f-87dc-d818939ca165','SUBJECT_AREA','Ковров г','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'28760033-16fb-41c9-82b3-da78d5741c68','SUBJECT_AREA','Ковровский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'b61f2e38-fc47-433a-934d-4b9b03378c0b','SUBJECT_AREA','Кольчугинский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'bf1ce2aa-e8d9-4f74-9c12-6d6bad9d3ce5','SUBJECT_AREA','Меленковский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'282d1e98-38a3-4c61-9f12-c6900dfc29d6','SUBJECT_AREA','Муром г','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'741384d4-5bb3-462e-b1b0-82972f01483f','SUBJECT_AREA','Муромский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'a922766e-f306-4d8b-bd04-f2a5afffaee6','SUBJECT_AREA','Петушинский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'ae266763-f867-46ea-8ebd-b318e390b7f6','SUBJECT_AREA','Радужный г','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'd2961ffe-1c4c-4a41-8c19-4958984a05ad','SUBJECT_AREA','Селивановский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'a0ebfe5c-fac5-47b4-8585-9c4abb89c861','SUBJECT_AREA','Собинский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'b86c1632-446b-4946-92d1-f01f7e1ed644','SUBJECT_AREA','Судогодский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'1d401e63-18b6-4d35-be6e-ce5c568e2bfd','SUBJECT_AREA','Суздальский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'7d237c7c-5d68-41e7-b521-ded382e70aed','SUBJECT_AREA','Юрьев-Польский р-н','fc76cad8-9435-47bd-93ae-bdce2e055f69'
'3b3c68ff-1d1c-4733-95a2-d8ce72026833','SUBJECT_AREA','Аннинский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'cffdaefb-f792-4793-99f8-994a2b77f2aa','SUBJECT_AREA','Бобровский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'94965789-4456-4a76-b114-5ddfd2b310d4','SUBJECT_AREA','Богучарский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'94b7de5f-0c5f-4dda-b27b-ed1c2cb73b1e','SUBJECT_AREA','Борисоглебский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'26dd5cc3-6b45-4741-a5f0-1ff35c1eb92c','SUBJECT_AREA','Бутурлиновский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'18333be2-820a-4e1b-b053-d07254cd3a14','SUBJECT_AREA','Верхнемамонский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'a9620ba3-ebc8-4ef3-849b-2bd459b5209e','SUBJECT_AREA','Верхнехавский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'd531b573-46a5-47c4-b278-ed0c570959cc','SUBJECT_AREA','Воробьевский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'8efb1a19-32e3-4429-a6f6-92c0ea08847d','SUBJECT_AREA','Воронеж г','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'f5e837cd-94c5-4050-ab14-2859fe202d3e','SUBJECT_AREA','Воронеж-45 г','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'0fb38263-919d-45f1-ad6b-a72b7a458ad8','SUBJECT_AREA','Грибановский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'34e783eb-d1f8-41eb-82ef-0292a67b50b9','SUBJECT_AREA','Калачеевский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'525722ee-55f7-4060-a978-edad18e37e0d','SUBJECT_AREA','Каменский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'9ef0749a-40bb-40e2-9dd4-1c4d18814e1d','SUBJECT_AREA','Кантемировский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'3e8f9754-0ab8-43f4-a497-87d29fc0edde','SUBJECT_AREA','Каширский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'3c5d213d-4031-41ae-ba4c-6ff672fca6b5','SUBJECT_AREA','Лискинский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'185ed3bd-0c1c-4957-a546-615fe73f824b','SUBJECT_AREA','Нижнедевицкий р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'2f040b45-e89e-48b4-9ed3-d9a34aafc3f2','SUBJECT_AREA','Нововоронеж г','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'259da88d-606e-463c-a75a-1dd6c1766566','SUBJECT_AREA','Новоусманский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'128cfb3a-03b4-47ca-81cd-a96761278519','SUBJECT_AREA','Новохоперский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'2075b6bc-31bd-4809-bb54-732f060ca5c0','SUBJECT_AREA','Ольховатский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'dc8ba4d5-1ffa-4cec-9ee4-89fc49126deb','SUBJECT_AREA','Острогожский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'020184c2-2a1a-4aa3-93a7-a186e6ed68e0','SUBJECT_AREA','Павловский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
'f56e4eca-91b5-4d71-b81b-a3e7e55d28da','SUBJECT_AREA','Панинский р-н','3a99f3cd-cafa-4e9e-9ade-7798003cbbe9'
